Date,FTIR_integrate_00,FTIR_integrate_01,FTIR_integrate_02,FTIR_integrate_03,FTIR_integrate_04,FTIR_integrate_05,FTIR_integrate_06,FTIR_integrate_07,FTIR_integrate_08,FTIR_integrate_09,FTIR_integrate_10,FTIR_integrate_11,FTIR_integrate_12,FTIR_integrate_13,FTIR_integrate_14,FTIR_integrate_15,IWP,LWP,Latitude,Longitude,RRTMG_All_00,RRTMG_All_01,RRTMG_All_02,RRTMG_All_03,RRTMG_All_04,RRTMG_All_05,RRTMG_All_06,RRTMG_All_07,RRTMG_All_08,RRTMG_All_09,RRTMG_All_10,RRTMG_All_11,RRTMG_All_12,RRTMG_All_13,RRTMG_All_14,RRTMG_All_15,RRTMG_All_16,RRTMG_All_17,RRTMG_All_18,RRTMG_All_19,RRTMG_All_20,RRTMG_All_21,RRTMG_All_22,RRTMG_All_23,RRTMG_All_24,RRTMG_All_25,RRTMG_All_26,RRTMG_All_27,RRTMG_All_28,RRTMG_Clear_00,RRTMG_Clear_01,RRTMG_Clear_02,RRTMG_Clear_03,RRTMG_Clear_04,RRTMG_Clear_05,RRTMG_Clear_06,RRTMG_Clear_07,RRTMG_Clear_08,RRTMG_Clear_09,RRTMG_Clear_10,RRTMG_Clear_11,RRTMG_Clear_12,RRTMG_Clear_13,RRTMG_Clear_14,RRTMG_Clear_15,RRTMG_Clear_16,RRTMG_Clear_17,RRTMG_Clear_18,RRTMG_Clear_19,RRTMG_Clear_20,RRTMG_Clear_21,RRTMG_Clear_22,RRTMG_Clear_23,RRTMG_Clear_24,RRTMG_Clear_25,RRTMG_Clear_26,RRTMG_Clear_27,RRTMG_Clear_28,SZA,red_chi_2,rice,rliq
2017-06-11 10:08:00,15625.774972482322,1665.9050405689036,47.43532777117763,24.662498797777715,36.49881164044742,36.98987583585708,17.386664137476078,13.572134263728575,19.664604571671568,5.436129135208223,9.153312711013625,-237.07774459928675,-2091.930693535612,-3052.9875606593414,-8032.784585826961,-44781.442728716494,89.0256511627294,20.07500084553329,81.84316,11.096164,49.5205,51.0047,46.9686,24.0982,36.5166,38.3723,18.1428,14.0569,19.3177,5.2906,9.8212,2.9262,0.7342,0.314,0.2601,0.1634,2.2178,0.0111,1.0348,0.7189,4.4514,8.1913,8.6917,121.8334,87.3462,145.5279,57.4249,10.4456,0.0522,49.1364,51.0038,45.9079,24.0663,24.22,6.1499,4.9433,2.4686,13.8903,5.2484,9.8126,2.5994,0.4405,0.3125,0.0925,0.0557,3.1863,0.326,9.0656,6.7264,15.2393,25.6549,11.0297,144.1097,98.8981,162.2305,61.1725,10.6064,0.0,59.0851192315,3.3309622588947376,37.611492153908934,6.786819521512798
2017-06-11 10:15:00,8451.795002522373,912.5824559619092,47.30605193584952,24.747756128200336,36.61975869402948,37.45302330170576,17.649690999027758,13.789605634075906,19.77408773820114,5.395768969028102,9.938801108324347,-221.90555596432907,-1959.5264854335635,-2859.755346244384,-7524.366938326799,-41947.09860800294,21.696657088940807,46.36406174063347,81.842741,11.098292,49.5225,51.0095,46.9721,24.1001,36.5196,38.3756,18.1428,14.0542,19.3178,5.2914,9.823,2.9247,0.7334,0.3141,0.2575,0.1631,2.2708,0.0114,1.7425,1.117,6.3902,12.8359,8.1986,123.4397,87.8784,146.376,57.7535,10.5055,0.0525,49.1382,51.0034,45.9042,24.068,24.2164,6.1489,4.943,2.4679,13.8868,5.2491,9.8144,2.599,0.4404,0.3126,0.0925,0.0557,3.1959,0.3284,9.0882,6.7448,15.2762,25.7231,11.0558,144.4569,99.1312,162.6297,61.3371,10.6415,0.0,59.0112575658,3.491344129739169,18.447686294547832,9.92514261254303
2017-06-11 10:58:00,-91054.66350953566,-9394.845572783492,46.34840317651301,24.49346164350773,32.18897489950424,26.75496848146454,13.009280776285946,9.747838651218128,17.54653860777857,5.365950464379287,10.241514300578565,-243.03769697133805,-2143.076397190547,-3127.6301850647305,-8229.17848225011,-45876.30615135326,61.32109823748651,5.782119482895376,81.840053,11.112045,49.5077,51.0074,46.9038,24.106,35.8014,36.4063,17.2118,13.1336,18.8396,5.2912,9.8322,2.892,0.7046,0.3144,0.2403,0.1529,2.5738,0.0298,3.7238,2.7414,9.2365,15.8411,9.8892,129.8951,91.0418,151.0489,59.3145,10.7677,0.0538,49.1494,51.004,45.8789,24.0786,24.1958,6.1377,4.9399,2.4626,13.8703,5.254,9.8254,2.5969,0.4393,0.3131,0.0924,0.0555,3.2325,0.3367,9.1763,6.8161,15.4179,25.9874,11.1549,145.7957,100.0178,164.1428,61.9612,10.7758,0.0,58.7312573759,0.9316726416796748,67.17756183198793,9.578221070689857
2017-06-11 11:01:00,80209.93703069391,8350.703052279601,45.97413713569386,24.44156366712276,30.860431635661833,24.01551614958477,11.913328893831393,8.769830292652037,16.980525515338993,5.3001410786108965,9.878282058366965,-220.54409347844754,-1946.4852160102246,-2840.722768612777,-7474.289893075191,-41667.92738039218,47.97296284950096,6.956039238182605,81.839873,11.113,49.4879,51.006,46.8421,24.1048,35.1238,34.8075,16.496,12.4372,18.5041,5.2889,9.8325,2.8685,0.6846,0.3144,0.2269,0.1452,2.7969,0.0486,4.5484,3.3385,10.3514,17.7436,10.0363,131.8403,92.1269,152.5859,59.7295,10.8123,0.0541,49.1504,51.0048,45.8783,24.0796,24.1945,6.1356,4.9394,2.462,13.8693,5.2545,9.8264,2.5969,0.4393,0.3131,0.0924,0.0555,3.2337,0.3371,9.179,6.8182,15.4223,25.9955,11.1578,145.8355,100.0439,164.187,61.9795,10.7797,0.0,58.7230884697,0.6383206989792459,73.551473328462,13.043772036187205
2017-06-11 11:04:00,109254.24855295854,11360.333566039617,45.32990934625113,25.024288369267442,27.154092431663955,15.179891729658545,8.292687505846228,5.602054501381484,15.388014719201516,5.1969983372224675,9.352874122924257,-130.8050842695007,-1162.8028706183406,-1697.0077978524264,-4465.035579009415,-24891.833327123517,23.197457506181305,2.9319313653708305,81.839727,11.113796,49.3879,50.9531,46.4862,24.0886,32.0961,26.6347,12.9949,9.3088,16.9609,5.273,9.8288,2.7608,0.5963,0.314,0.1765,0.1143,3.7009,0.133,6.6278,4.918,12.7638,21.6811,10.5169,136.828,95.1152,156.829,60.8311,10.9187,0.0546,49.1517,51.0062,45.878,24.0809,24.1927,6.1335,4.939,2.4615,13.8688,5.2551,9.8276,2.597,0.4392,0.3132,0.0924,0.0555,3.2346,0.3373,9.1813,6.82,15.4259,26.0023,11.1602,145.8707,100.0653,164.2232,61.9944,10.7831,0.0,58.7164495258,0.3998822203846492,79.9942821777989,10.01694918768479
2017-06-11 11:39:00,105569.19990519108,10972.389534647173,47.22639805506631,32.36518255897562,36.20014156916105,36.62738152106687,17.34947863772039,13.523104255979417,19.590818705885166,5.392542399411187,10.107807752427362,-224.30084980497165,-1980.4507664630707,-2890.2924811008247,-7604.713884161443,-42395.0195144928,177.5753393481775,15.97226873071167,81.837689,11.125776,49.5526,51.0497,47.0187,24.1283,36.5651,38.4375,18.1815,14.0911,19.3674,5.3048,9.8502,2.9375,0.7375,0.3153,0.2618,0.1643,2.2254,0.0112,0.6216,0.4458,3.2,5.6738,8.9474,122.6086,88.8222,147.8719,58.3207,10.6255,0.0531,49.1659,51.0198,45.8696,24.0954,24.1748,6.1087,4.9328,2.4549,13.8628,5.2618,9.8416,2.5974,0.4388,0.3138,0.0924,0.0555,3.2326,0.3382,9.174,6.8138,15.4141,25.9876,11.149,145.7548,99.9676,164.0469,61.921,10.7679,0.0,58.7495281319,2.664494488901563,65.42757140085156,10.127211615095963
2017-06-11 12:15:00,-218293.8087252562,-22562.94405623326,45.998577899263154,24.587429217128573,29.281055328011053,19.316950721284623,9.90129983417281,7.051076196747878,16.325930504267387,5.380330498090166,10.251112911954225,-177.9426779530309,-1575.057059993956,-2298.6562730541823,-6048.046482808587,-33716.85675081817,19.984331426564225,4.035117419175099,81.83571,11.138815,49.4696,51.0458,46.7758,24.1327,33.8983,30.7049,14.66,10.7836,17.7195,5.2971,9.861,2.8214,0.6391,0.3154,0.1983,0.1296,3.2079,0.0872,6.2397,4.6091,12.2695,20.9314,10.18,132.9156,92.4659,152.8258,59.5747,10.727,0.0536,49.1805,51.0338,45.8608,24.1102,24.1567,6.084,4.9267,2.4483,13.857,5.2686,9.856,2.5978,0.4382,0.3144,0.0924,0.0554,3.2048,0.3338,9.1025,6.7563,15.2984,25.7842,11.063,144.6603,99.2048,162.7251,61.3745,10.6505,0.0,58.9950290364,0.8711474686929959,48.726510885793886,8.98214594549217
2017-06-11 12:19:00,-87301.05023685197,-8998.578063678995,44.63940570612638,24.796206847764854,23.008384000322305,6.353014095930158,5.155162355874875,2.809242234061866,14.035381751430572,5.418071712033193,10.411682016278833,-135.5702441262137,-1204.865351169478,-1758.394262657366,-4626.550894242812,-25792.254440332083,9.81527310284246,0.051816819813486695,81.835481,11.140335,49.2819,51.0629,46.1857,24.1276,27.2772,14.4484,8.2906,5.3064,15.1886,5.2832,9.8626,2.6848,0.5108,0.3149,0.1328,0.0819,4.9989,0.2659,8.1421,6.0805,14.33,24.1741,10.8961,141.0224,97.5271,159.8222,61.3016,10.8718,0.0544,49.1822,51.0355,45.8601,24.1119,24.1552,6.0814,4.9261,2.4476,13.8567,5.2694,9.8576,2.5979,0.4382,0.3145,0.0924,0.0554,3.2002,0.3329,9.0906,6.7467,15.2791,25.7504,11.0489,144.4764,99.079,162.5077,61.2847,10.6313,0.0,59.035265680799995,0.22350530432142995,79.31143520419108,4.1398978407063565
2017-06-11 12:20:00,-40592.86888143218,-4164.272452101958,45.31371505926946,25.71729393628743,25.364919419089798,11.125670642019536,6.8349188195588075,4.284285920797255,14.872934412644259,5.461006255856395,10.568414582325623,-168.91607271587702,-1496.0161801087177,-2183.3031096731534,-5744.53816699566,-32024.848193007896,12.727766119756163,1.6936848484498763,81.835423,11.140709,49.3582,51.042,46.4179,24.1255,30.0729,21.1737,10.8297,7.4315,16.1521,5.2863,9.861,2.7282,0.5557,0.3151,0.1536,0.0989,4.2816,0.1924,7.5293,5.6003,13.6607,23.1359,10.6294,138.0013,95.6426,157.2062,60.6404,10.8098,0.054,49.1828,51.0359,45.8603,24.1124,24.1542,6.0807,4.926,2.4474,13.8564,5.2697,9.8581,2.5979,0.4382,0.3145,0.0924,0.0554,3.199,0.3327,9.0876,6.7443,15.2741,25.7415,11.0452,144.4296,99.0465,162.4516,61.2615,10.6262,0.0,59.045719285299995,0.3256209977493075,68.67969075300594,10.018219863864491
2017-06-11 12:22:00,-16210.849278545465,-1626.7882745331588,44.879184355407524,25.04986005322582,22.89204044878566,5.965538947357782,5.077103668716887,2.732436716479691,14.129875691199594,5.5453321883491,10.841541800167485,-215.0423927309686,-1899.0710216475518,-2771.5259515120742,-7292.2245833578,-40652.94345384929,2.4405233338844323,0.0,81.835312,11.141553,49.2686,51.0373,46.1098,24.1194,26.9385,13.357,7.8659,4.9498,14.9772,5.278,9.8601,2.6668,0.4989,0.3149,0.1269,0.0776,5.1201,0.278,8.5824,6.4102,14.73,24.8375,10.9029,141.0231,97.4656,159.6992,61.2417,10.857,0.0543,49.1834,51.0366,45.8585,24.1132,24.1533,6.0792,4.9256,2.447,13.8558,5.27,9.8588,2.598,0.4381,0.3146,0.0924,0.0554,3.1964,0.332,9.0813,6.7392,15.2639,25.7232,11.0377,144.3328,98.9797,162.3361,61.2138,10.6159,0.0,59.067118268,0.4091371103508955,20.567649303878927,5.135905567631001
